temperature,relative humidity,wind speed,surface pressure
29.43000031,99.75,8.82,99.13
31.18000031,97.62,8.23,100.21
29.93000031,99.44,5.77,100.55
30.02000046,99.88,5.69,100.4
30.37999916,99.44,5.19,100.95
29.60000038,98.38,9.89,100.29
29.61000061,98.94,4.48,100.37
30.42000008,99.75,7.53,101.1
31.46999931,98.19,7.44,101.55
30.98999977,99.19,7.51,102.45
31.05999947,98.31,10.41,102.96
32.61000061,99.06,9.42,102.89
33.84999847,99.5,8.65,102.07
34.81000137,95.38,8.73,101.49
33.84000015,99.12,7.05,101.86
34.18000031,93.06,8.91,101.04
34.52000046,97.69,4.55,101.53
35.22999954,99.75,4.06,100.84
36.08000183,98.5,4.11,100.94
35.52000046,100,7.7,99.78
33.84999847,100,2.13,99.83
33.72999954,97.06,9.16,100.15
32.09000015,98.31,7.12,100.6
33.16999817,100,7.52,101.63
33.91999817,99.12,9.02,101.26
35.77999878,96.31,10.96,100.37
35.90000153,99.81,11.66,99.59
37.59000015,99.94,8.45,100.15
38.88999939,99.81,3.56,101.05
39.41999817,99.69,3.56,101.08
39.90000153,99.62,5.65,101.08
39.70000076,98.19,13.91,100.69
39.47000122,97.94,17.62,100.92
39.02000046,99.06,12.16,101.48
37.63000107,100,5.19,101.56
37.15000153,99.12,3.74,101.88
36.88000107,100,4.24,102.5
37.91999817,96.31,1.95,102.39
38.02999878,100,3.94,101.94
37.63000107,99.19,3.9,101.43
37.47999954,99.56,6.3,101.12
37.11999893,99.06,8.5,100.86
38.20000076,96.88,6.15,100.83
37.97000122,97.06,5.03,101.13
35.25,100,7.23,100.61
36.06999969,91,6.34,100.64
36.11999893,89.38,4.7,101.53
36.02000046,96.5,11.48,101.24
36.86999893,98.88,7.02,99.73
37.68000031,92.06,7.77,99.24
38.88999939,82.25,5.91,100.03
39.49000168,91.88,5.58,100.55
39.29999924,97.62,4.63,100.86
38.54999924,90.75,5.16,100.46
38.72000122,97.44,8.27,100.46
38.45999908,94.25,9.12,100.88
39.08000183,95.25,6.41,101.04
39.74000168,94.5,4.26,101.28
39.93000031,96.31,6.37,101.89
39.75999832,95.75,7.3,102.64
39.75999832,95.5,9.56,102.31
41.02000046,95.81,13.53,101.3
41.29000092,95.5,9.51,101.69
41.24000168,98.31,5.35,101.82
41.56000137,96.81,4.76,101.54
41.5,93.38,3.22,102.35
