maxtemp,10u,10v,msl,msnlwrf,r,ssr
31.23,-2.395831815,-0.667155279,101255.6449,-69.50711795,68.2452852,701982.7832
30.75,-2.1195955,0.024435286,101214.0548,-58.50280095,72.80227709,663647.5218
31.4,-2.309336308,2.038213215,101116.3023,-41.56691223,84.53419728,663165.66
31.43,-1.198113257,2.192731611,101181.3094,-43.7104409,84.22145111,653631.0784
31.72,-0.084360148,1.677559683,101120.9155,-46.11032197,84.6705375,673846.235
30.82,-0.65080898,1.793771085,100956.5919,-59.05657725,82.7488406,788548.2361
32.24,-1.110413605,2.314227584,100973.5343,-58.97167775,79.57037279,783694.0005
33.01,-1.42983679,2.925824497,101059.6598,-65.18450205,76.66132765,803745.7431
32.99,-0.97389872,2.949678805,101110.5121,-54.36918752,73.70083887,696958.8485
31.35,-1.233249943,3.095446934,101033.0611,-64.41379098,74.35122645,745455.1117
32.26,-2.799315157,0.823646757,101193.6727,-70.28352574,75.79728853,872285.3688
31.99,-2.738390823,-0.300160267,101238.5144,-63.56102877,73.48446442,811579.1425
31.8,-2.94469201,-1.057402413,101274.6619,-75.26806373,71.99376598,840252.0239
32.04,-3.061791746,-2.395037925,101382.162,-74.64261901,66.84381084,868589.6971
31.38,-3.241209377,-2.254185675,101385.9654,-54.36643104,67.359949,676511.1411
31.47,-3.1838163,-2.485662172,101338.8001,-57.43209327,70.42843051,714054.4726
31.17,-2.748429876,-1.997011416,101326.1215,-63.20636202,71.85611293,821583.0157
31.55,-2.343958865,-1.650540197,101307.3177,-67.27648459,75.74035045,851192.3854
31.65,-1.79653282,-0.186664889,101204.8141,-76.55396041,77.03203301,886623.9047
32.48,-1.12375391,1.572679384,101090.9595,-78.80912641,79.81956809,883160.7837
32.13,-0.093235645,3.576822188,100929.1333,-81.6276245,80.77394962,913773.6832
33.39,-0.074902873,3.087520078,100852.1786,-62.14089164,78.20915867,845068.5485
34.43,-1.333207522,0.503315731,100875.0688,-62.85647316,82.53445971,830528.8877
34.92,-1.293091899,-0.497262473,100988.3717,-78.59651012,80.16464888,892226.0735
33.81,-0.863915617,1.032313571,101057.2628,-94.46049669,76.73859035,924634.4327
33.18,-0.470038377,2.335390447,100981.2862,-86.58873244,78.2032266,941034.4996
34.13,-0.659765656,2.58215533,100939.6567,-88.98695962,77.91780682,924906.7895
33.78,-0.565138786,2.899303325,100965.6695,-88.89728222,75.5109449,933796.095
33.74,-0.52230369,2.894215389,100978.7405,-91.23523443,72.49638682,940123.152
33.44,-0.703290768,3.340245466,100973.8514,-92.49889553,75.15560456,961519.9179
33.52,-0.561255757,4.040438826,100947.9729,-86.65406095,74.09838439,915256.98
33.85,-0.553963237,4.0476283,101015.9235,-85.64417953,77.72068726,924565.296
34.46,-0.64550533,3.502469504,101122.8682,-86.93531352,77.59514145,932495.0677
34.28,-0.864335038,3.122029555,101090.7696,-95.71359129,74.41652777,951488.809
33.9,-1.05730945,3.015146036,101024.4206,-95.09163812,74.28417468,968988.7782
33.81,-0.879880688,3.24265296,101031.9629,-89.07525877,76.16755628,922600.1373
33.88,-1.068728535,3.055726625,101084.8289,-87.49644043,79.1714172,943621.8889
33.57,-0.748655923,2.740397506,101074.6136,-91.72735752,77.0220652,944686.1753
34.18,-0.450176747,3.11407812,101116.4958,-98.0336264,73.6990398,956929.659
34.25,-0.426540324,3.469828061,101090.8448,-94.08414565,77.95933126,971961.6571
34.56,-0.159531279,4.045698817,100965.1393,-87.55919623,77.832424,941824.3343
34.88,0.079768898,4.305699707,100816.9573,-83.91788965,74.54576896,935149.4986
34.99,-0.301228047,4.063211639,100715.5161,-87.4570228,74.53828095,965854.5805
35.21,-0.554003826,4.081179181,100779.0882,-85.17217873,75.18774468,956634.2567
35.08,-0.470755452,3.374718074,100860.364,-86.77065994,77.12568182,941604.3538
35.14,-0.033921348,3.848719508,100797.5605,-89.83292252,75.72770834,966342.7276
35.2,0.531837468,4.172983239,100681.0419,-93.72764125,74.29200306,980704.309
36.25,0.564457626,3.93382568,100494.4014,-92.57745513,68.38113918,972129.2611
37.9,0.161731949,4.251502131,100488.0773,-96.54035073,72.09504868,987410.5704
